id,name
0,Amputation
1,Loss or reduction of sight
2,Fracture
3,Dislocation
4,Concussion and internal injuries
5,Lacerations and open wounds
6,Contusions
7,Burns
8,Poisonings and gassings
9,Sprains and strains
10,Superficial injuries
11,Multiple injuries
12,Other injuries caused by contact with electricity
13,Natural causes
14,Injuries not elsewhere classified
15,Injuries not known
16,Amputation
17,Loss or reduction of sight
18,Fracture
19,Burns
20,Crush injuries leading to internal organ damage
21,Scalpings
22,Loss of consciousness caused by head injury or asphyxia
23,Certain injuries resulting from working in an enclosed space
